#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Microsoft Corp,MSFT,12.543,244.48,2.68,-1.11%
2,Apple Inc,AAPL,11.828,135.62,3.32,-2.51%
3,Amazon.com Inc,AMZN,6.073,86.78,1.59,-1.87%
4,Alphabet Inc,GOOG,3.812,90.4,0.77,-0.86%
5,NVIDIA Corp,NVDA,3.587,164.94,4.09,-2.54%
