MSFT,Date
0.0654168501496315,1986-08-14 00:00:00-04:00
0.06568492203950882,1986-08-15 00:00:00-04:00
0.06488069146871567,1986-08-18 00:00:00-04:00
0.06488069146871567,1986-08-19 00:00:00-04:00
0.06434451788663864,1986-08-20 00:00:00-04:00
0.06434451788663864,1986-08-21 00:00:00-04:00
0.06327219307422638,1986-08-22 00:00:00-04:00
0.06327219307422638,1986-08-25 00:00:00-04:00
0.06273601949214935,1986-08-26 00:00:00-04:00
0.06273601949214935,1986-08-27 00:00:00-04:00
0.06273601949214935,1986-08-28 00:00:00-04:00
0.06112690269947052,1986-08-29 00:00:00-04:00
0.059518393129110336,1986-09-02 00:00:00-04:00
0.05790987238287926,1986-09-03 00:00:00-04:00
0.06273601949214935,1986-09-04 00:00:00-04:00
0.0654168501496315,1986-09-05 00:00:00-04:00
0.06488069146871567,1986-09-08 00:00:00-04:00
0.06595300883054733,1986-09-09 00:00:00-04:00
0.06488069146871567,1986-09-10 00:00:00-04:00
0.062199220061302185,1986-09-11 00:00:00-04:00
0.060590699315071106,1986-09-12 00:00:00-04:00
0.061663057655096054,1986-09-15 00:00:00-04:00
0.061663057655096054,1986-09-16 00:00:00-04:00
0.06327219307422638,1986-09-17 00:00:00-04:00
0.06380832195281982,1986-09-18 00:00:00-04:00
0.06380832195281982,1986-09-19 00:00:00-04:00
0.06327219307422638,1986-09-22 00:00:00-04:00
0.06434451788663864,1986-09-23 00:00:00-04:00
0.06354027986526489,1986-09-24 00:00:00-04:00
0.062199220061302185,1986-09-25 00:00:00-04:00
0.062199220061302185,1986-09-26 00:00:00-04:00
0.060590699315071106,1986-09-29 00:00:00-04:00
0.060590699315071106,1986-09-30 00:00:00-04:00
0.06005454808473587,1986-10-01 00:00:00-04:00
0.06005454808473587,1986-10-02 00:00:00-04:00
0.060590699315071106,1986-10-03 00:00:00-04:00
0.0654168501496315,1986-10-06 00:00:00-04:00
0.06675727665424347,1986-10-07 00:00:00-04:00
0.06863384693861008,1986-10-08 00:00:00-04:00
0.0707785114645958,1986-10-09 00:00:00-04:00
0.0739961639046669,1986-10-10 00:00:00-04:00
0.0707785114645958,1986-10-13 00:00:00-04:00
0.07185086607933044,1986-10-14 00:00:00-04:00
0.07506848126649857,1986-10-15 00:00:00-04:00
0.07506848126649857,1986-10-16 00:00:00-04:00
0.07721318304538727,1986-10-17 00:00:00-04:00
0.0777493342757225,1986-10-20 00:00:00-04:00
0.08096632361412048,1986-10-21 00:00:00-04:00
0.08096632361412048,1986-10-22 00:00:00-04:00
0.08096632361412048,1986-10-23 00:00:00-04:00
0.08043017238378525,1986-10-24 00:00:00-04:00
0.08311162889003754,1986-10-27 00:00:00-05:00
0.08498822897672653,1986-10-28 00:00:00-05:00
0.0825754776597023,1986-10-29 00:00:00-05:00
0.0841839611530304,1986-10-30 00:00:00-05:00
0.08311162889003754,1986-10-31 00:00:00-05:00
0.08472009748220444,1986-11-03 00:00:00-05:00
0.0879371389746666,1986-11-04 00:00:00-05:00
0.09329945594072342,1986-11-05 00:00:00-05:00
0.09544409066438675,1986-11-06 00:00:00-05:00
0.09490795433521271,1986-11-07 00:00:00-05:00
0.09115415066480637,1986-11-10 00:00:00-05:00
0.09169095754623413,1986-11-11 00:00:00-05:00
0.09169095754623413,1986-11-12 00:00:00-05:00
0.09034989774227142,1986-11-13 00:00:00-05:00
0.09115415066480637,1986-11-14 00:00:00-05:00
0.09169095754623413,1986-11-17 00:00:00-05:00
0.08686479926109314,1986-11-18 00:00:00-05:00
0.0900818333029747,1986-11-19 00:00:00-05:00
0.09705259650945663,1986-11-20 00:00:00-05:00
0.10026960074901581,1986-11-21 00:00:00-05:00
0.10831275582313538,1986-11-24 00:00:00-05:00
0.10938507318496704,1986-11-25 00:00:00-05:00
0.10831275582313538,1986-11-26 00:00:00-05:00
0.10670428723096848,1986-11-28 00:00:00-05:00
0.10455959290266037,1986-12-01 00:00:00-05:00
0.10509572178125381,1986-12-02 00:00:00-05:00
0.10429149866104126,1986-12-03 00:00:00-05:00
0.10563193261623383,1986-12-04 00:00:00-05:00
0.10509572178125381,1986-12-05 00:00:00-05:00
0.10402344912290573,1986-12-08 00:00:00-05:00
0.1034872755408287,1986-12-09 00:00:00-05:00
0.10429149866104126,1986-12-10 00:00:00-05:00
0.10509572178125381,1986-12-11 00:00:00-05:00
0.1013425886631012,1986-12-12 00:00:00-05:00
0.0986611396074295,1986-12-15 00:00:00-05:00
0.09973348677158356,1986-12-16 00:00:00-05:00
0.10080581903457642,1986-12-17 00:00:00-05:00
0.10161067545413971,1986-12-18 00:00:00-05:00
0.10402344912290573,1986-12-19 00:00:00-05:00
0.10509572178125381,1986-12-22 00:00:00-05:00
0.10616808384656906,1986-12-23 00:00:00-05:00
0.10590003430843353,1986-12-24 00:00:00-05:00
0.10563193261623383,1986-12-26 00:00:00-05:00
0.1013425886631012,1986-12-29 00:00:00-05:00
0.10241490602493286,1986-12-30 00:00:00-05:00
0.1034872755408287,1986-12-31 00:00:00-05:00
0.10241490602493286,1987-01-02 00:00:00-05:00
0.10831275582313538,1987-01-05 00:00:00-05:00
0.10992126166820526,1987-01-06 00:00:00-05:00
0.11581974476575851,1987-01-07 00:00:00-05:00
0.11957287043333054,1987-01-08 00:00:00-05:00
0.12439905107021332,1987-01-09 00:00:00-05:00
0.13244220614433289,1987-01-12 00:00:00-05:00
0.12868835031986237,1987-01-13 00:00:00-05:00
0.12868835031986237,1987-01-14 00:00:00-05:00
0.13565918803215027,1987-01-15 00:00:00-05:00
0.13244220614433289,1987-01-16 00:00:00-05:00
0.13726769387722015,1987-01-19 00:00:00-05:00
0.13941232860088348,1987-01-20 00:00:00-05:00
0.1453108787536621,1987-01-21 00:00:00-05:00
0.15978862345218658,1987-01-22 00:00:00-05:00
0.1447746753692627,1987-01-23 00:00:00-05:00
0.14745551347732544,1987-01-26 00:00:00-05:00
0.1533539742231369,1987-01-27 00:00:00-05:00
0.15389014780521393,1987-01-28 00:00:00-05:00
0.14745551347732544,1987-01-29 00:00:00-05:00
0.15683908760547638,1987-01-30 00:00:00-05:00
0.15657100081443787,1987-02-02 00:00:00-05:00
0.15389014780521393,1987-02-03 00:00:00-05:00
0.15442636609077454,1987-02-04 00:00:00-05:00
0.1533539742231369,1987-02-05 00:00:00-05:00
0.14772361516952515,1987-02-06 00:00:00-05:00
0.1463831663131714,1987-02-09 00:00:00-05:00
0.14691929519176483,1987-02-10 00:00:00-05:00
0.15389014780521393,1987-02-11 00:00:00-05:00
0.16461408138275146,1987-02-12 00:00:00-05:00
0.16300559043884277,1987-02-13 00:00:00-05:00
0.1640779823064804,1987-02-17 00:00:00-05:00
0.15389014780521393,1987-02-18 00:00:00-05:00
0.14745551347732544,1987-02-19 00:00:00-05:00
0.14584702253341675,1987-02-20 00:00:00-05:00
