QQQE,Date
16.827484130859375,2012-08-28 00:00:00-04:00
16.796857833862305,2012-08-29 00:00:00-04:00
16.63497543334961,2012-08-30 00:00:00-04:00
16.709360122680664,2012-08-31 00:00:00-04:00
16.709360122680664,2012-09-04 00:00:00-04:00
16.709360122680664,2012-09-05 00:00:00-04:00
16.980623245239258,2012-09-06 00:00:00-04:00
17.07688331604004,2012-09-07 00:00:00-04:00
17.07688331604004,2012-09-10 00:00:00-04:00
16.954370498657227,2012-09-11 00:00:00-04:00
16.984996795654297,2012-09-12 00:00:00-04:00
16.949995040893555,2012-09-13 00:00:00-04:00
17.335023880004883,2012-09-14 00:00:00-04:00
17.22563934326172,2012-09-17 00:00:00-04:00
17.22563934326172,2012-09-18 00:00:00-04:00
17.280651092529297,2012-09-19 00:00:00-04:00
17.280651092529297,2012-09-20 00:00:00-04:00
17.280651092529297,2012-09-21 00:00:00-04:00
17.11339569091797,2012-09-24 00:00:00-04:00
17.08698844909668,2012-09-25 00:00:00-04:00
17.08698844909668,2012-09-26 00:00:00-04:00
17.08698844909668,2012-09-27 00:00:00-04:00
17.08698844909668,2012-09-28 00:00:00-04:00
16.97254753112793,2012-10-01 00:00:00-04:00
16.97254753112793,2012-10-02 00:00:00-04:00
16.97254753112793,2012-10-03 00:00:00-04:00
16.97254753112793,2012-10-04 00:00:00-04:00
17.139808654785156,2012-10-05 00:00:00-04:00
17.139808654785156,2012-10-08 00:00:00-04:00
17.139808654785156,2012-10-09 00:00:00-04:00
16.721647262573242,2012-10-10 00:00:00-04:00
16.633623123168945,2012-10-11 00:00:00-04:00
16.633623123168945,2012-10-12 00:00:00-04:00
16.677648544311523,2012-10-15 00:00:00-04:00
16.871313095092773,2012-10-16 00:00:00-04:00
16.906524658203125,2012-10-17 00:00:00-04:00
16.783287048339844,2012-10-18 00:00:00-04:00
16.64242935180664,2012-10-19 00:00:00-04:00
16.64242935180664,2012-10-22 00:00:00-04:00
16.272693634033203,2012-10-23 00:00:00-04:00
16.272693634033203,2012-10-24 00:00:00-04:00
16.272693634033203,2012-10-25 00:00:00-04:00
16.39154052734375,2012-10-26 00:00:00-04:00
16.39154052734375,2012-10-31 00:00:00-04:00
